event_name,event_day,event_month,event_location,event_link
Helitech Expo 2023,26,Sep,United Kingdom,https://www.defenseadvancement.com/events/helitech-expo/
AUSA 2023,9,Oct,United States,https://www.defenseadvancement.com/events/ausa/
Africa Air Force Forum 2023,25,Oct,Central African Republic,https://www.defenseadvancement.com/events/africa-air-force-forum-2023/
EDEX 2023,4,Dec,Egypt,https://www.defenseadvancement.com/events/edex-2023/
Natural Disasters Expo Asia 2023,6,Dec,Singapore,https://www.defenseadvancement.com/events/natural-disasters-expo-asia-2023/
HEMUS 2024,5,Jun,Bulgaria,https://www.defenseadvancement.com/events/hemus/
event_name,event_day,event_month,event_location,event_link
Helitech Expo 2023,26,Sep,United Kingdom,https://www.defenseadvancement.com/events/helitech-expo/
AUSA 2023,9,Oct,United States,https://www.defenseadvancement.com/events/ausa/
Africa Air Force Forum 2023,25,Oct,Central African Republic,https://www.defenseadvancement.com/events/africa-air-force-forum-2023/
EDEX 2023,4,Dec,Egypt,https://www.defenseadvancement.com/events/edex-2023/
Natural Disasters Expo Asia 2023,6,Dec,Singapore,https://www.defenseadvancement.com/events/natural-disasters-expo-asia-2023/
HEMUS 2024,5,Jun,Bulgaria,https://www.defenseadvancement.com/events/hemus/
event_name,event_day,event_month,event_location,event_link
AUSA Warfighter 2023,26,Jul,United States,https://www.defenseadvancement.com/events/ausa-warfighter-2023/
IDEF 2023,25,Jul,Turkey,https://www.defenseadvancement.com/events/idef-2023/
DSEI 2023,12,Sep,United Kingdom,https://www.defenseadvancement.com/events/dsei/
Helitech Expo 2023,26,Sep,United Kingdom,https://www.defenseadvancement.com/events/helitech-expo/
AUSA 2023,9,Oct,United States,https://www.defenseadvancement.com/events/ausa/
Africa Air Force Forum 2023,25,Oct,Central African Republic,https://www.defenseadvancement.com/events/africa-air-force-forum-2023/
EDEX 2023,4,Dec,Egypt,https://www.defenseadvancement.com/events/edex-2023/
Natural Disasters Expo Asia 2023,6,Dec,Singapore,https://www.defenseadvancement.com/events/natural-disasters-expo-asia-2023/
HEMUS 2024,5,Jun,Bulgaria,https://www.defenseadvancement.com/events/hemus/
event_name,event_day,event_month,event_location,event_link
AUSA Warfighter 2023,26,Jul,United States,https://www.defenseadvancement.com/events/ausa-warfighter-2023/
IDEF 2023,25,Jul,Turkey,https://www.defenseadvancement.com/events/idef-2023/
DSEI 2023,12,Sep,United Kingdom,https://www.defenseadvancement.com/events/dsei/
Helitech Expo 2023,26,Sep,United Kingdom,https://www.defenseadvancement.com/events/helitech-expo/
AUSA 2023,9,Oct,United States,https://www.defenseadvancement.com/events/ausa/
Africa Air Force Forum 2023,25,Oct,Central African Republic,https://www.defenseadvancement.com/events/africa-air-force-forum-2023/
EDEX 2023,4,Dec,Egypt,https://www.defenseadvancement.com/events/edex-2023/
Natural Disasters Expo Asia 2023,6,Dec,Singapore,https://www.defenseadvancement.com/events/natural-disasters-expo-asia-2023/
HEMUS 2024,5,Jun,Bulgaria,https://www.defenseadvancement.com/events/hemus/
event_name,event_day,event_month,event_location,event_link
AUSA Warfighter 2023,26,Jul,United States,https://www.defenseadvancement.com/events/ausa-warfighter-2023/
IDEF 2023,25,Jul,Turkey,https://www.defenseadvancement.com/events/idef-2023/
DSEI 2023,12,Sep,United Kingdom,https://www.defenseadvancement.com/events/dsei/
Helitech Expo 2023,26,Sep,United Kingdom,https://www.defenseadvancement.com/events/helitech-expo/
AUSA 2023,9,Oct,United States,https://www.defenseadvancement.com/events/ausa/
Africa Air Force Forum 2023,25,Oct,Central African Republic,https://www.defenseadvancement.com/events/africa-air-force-forum-2023/
EDEX 2023,4,Dec,Egypt,https://www.defenseadvancement.com/events/edex-2023/
Natural Disasters Expo Asia 2023,6,Dec,Singapore,https://www.defenseadvancement.com/events/natural-disasters-expo-asia-2023/
